SRR8040102	Sku3
SRR8040109	Eyr19
SRR8040115	Eyr14
SRR8040118	Eyr15
SRR8040127	Eyr36
SRR8040131	Gr13
SRR8040132	Gr20
SRR8040133	Sku6
SRR8040137	Gr18
SRR8040139	Eyr3
SRR8040146	Gr19
SRR8040148	Eyr30
SRR8040150	Eyr25
SRR8040153	Eyr28
SRR8040156	Eyr23
SRR8040164	Gr2
SRR8040171	Gr21
SRR8040371	EyrSW8
SRR8040373	EyrSW10
SRR8040374	HafSW1
SRR8040375	GroSW6
SRR8040377	EyrSW9
SRR8040378	EyrSW4
SRR8040385	GroSW5
SRR8040386	GroSW4
SRR8040104	Gr15
SRR8040105	Haf6
SRR8040114	Eyr11
SRR8040116	Eyr13
SRR8040117	Eyr16
SRR8040119	Eyr18
SRR8040123	Eyr32
SRR8040126	Eyr37
SRR8040142	Eyr8
SRR8040157	Eyr24
SRR8040376	EyrSW7
SRR8040120	Eyr17
SRR8040383	GroSW3
SRR8043037	Ex_Hp11
SRR8043030	Ex_Hp18
SRR8043031	Ex_Hp17
SRR8040149	Gr14
SRR8040163	Gr5
SRR8040382	EyrSW13
SRR8040140	Eyr2
SRR8040141	Eyr1
SRR8040154	Eyr21
SRR8040138	Eyr4
SRR8040147	Eyr29
SRR8040110	Sku2
SRR8040128	Eyr35
SRR8040134	Sku5
SRR8040152	Eyr27
SRR8040151	Eyr26
SRR8040106	Eyr10
SRR8043018	Ex_Hp10
SRR8043019	Ex_Hp9
SRR8043020	Ex_Hp6
SRR8043021	Ex_Hp5
SRR8043023	Ex_Hp7
SRR8043024	Ex_Hp2
SRR8043025	Ex_Hp1
SRR8043026	Ex_Hp4
SRR8043027	Ex_Hp3
SRR8043028	Ex_SW2
SRR8040107	Gr16
SRR8040112	Sku1
SRR8040113	Eyr12
SRR8040121	Eyr34
SRR8040124	Eyr31
SRR8040125	Eyr38
SRR8040130	Eyr39
SRR8040136	Eyr9
SRR8040155	Eyr22
SRR8040159	Gr9
SRR8040367	EyrSW2
SRR8040369	EyrSW6
SRR8040379	EyrSW12
SRR8040380	EyrSW11
SRR8040384	GroSW2
SRR8040161	Gr7
SRR8040172	Gr10
SRR8043036	Ex_Hp12
SRR8043022	Ex_Hp8
SRR8040166	Haf1
SRR8043035	Ex_Hp13
SRR8043032	Ex_Hp16
SRR8040122	Eyr33
SRR8040144	Eyr6
SRR8040103	Sku4
SRR8040108	Eyr20
SRR8040168	Haf3
SRR8040169	Haf4
SRR8040111	Gr17
SRR8040129	Gr1
SRR8040135	Gr12
SRR8040143	Eyr7
SRR8040162	Gr4
SRR8040165	Gr3
SRR8040167	Haf2
SRR8040170	Haf5
SRR8040173	Gr11
SRR8043033	Ex_Hp15
SRR8040145	Eyr5
SRR8040372	EyrSW3
SRR8040381	GroSW1
SRR8043029	Ex_SW1
SRR8040158	Gr8
SRR8040160	Gr6
SRR8040368	EyrSW5
SRR8040370	EyrSW1
SRR8043034	Ex_Hp14
