SRR17186135	RecolInj_LS275_T0_15
SRR17186136	RecolInj_LS274_T0_13
SRR17186137	RecolInj_LS273_T0_12
SRR17186138	RecolInj_LS272_T0_9
SRR17186140	RecolInc_LS154_T0_2
SRR17186210	RecolInj_LS265_T0_8
SRR17186211	RecolInj_LS264_T0_6
SRR17186212	RecolInj_LS263_T0_5
SRR17186213	RecolInj_LS262_T0_4
SRR17186214	RecolInj_LS261_T0_3
SRR17186215	RecolInc_LS153_T0_1
SRR17186216	RecolInj_LS260_T0_1
SRR17186272	RecolInc_LS158_T0_6
SRR17186283	RecolInc_LS157_T0_5
SRR17186287	RecolInj_LS253_T0_16
SRR17186288	RecolInj_LS252_T0_14
SRR17186289	RecolInj_LS251_T0_11
SRR17186291	RecolInj_LS250_T0_10
SRR17186292	RecolInj_LS249_T0_7
SRR17186293	RecolInj_LS248_T0_2
SRR17186302	ABExp_LS69_T0_2
SRR17186303	ABExp_LS68_T0_1
SRR17186364	RecolInc_LS156_T0_4
SRR17186396	ABExp_LS71_T0_4
SRR17186400	RecolInj_LS432_T0_aquarium_3_filter
SRR17186402	RecolInj_LS431_T0_aquarium_2_filter
SRR17186403	RecolInj_LS430_T0_aquarium_1_filter
SRR17186405	ABExp_LS70_T0_3
SRR17186423	RecolInc_LS155_T0_3
