Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version,HOST,REPLICATE,Depth
SRR8040102,AMPLICON,597,20098422,PRJNA495906,SAMN10234044,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",13832434,MATIS OHF,2013-11,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",sea water,sea coast,sea water,SRX4870770,Iceland,Europe,Iceland:Eyarfjordur,Illumina MiSeq,65.73 N 18.10 W,Sku3,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Sku3,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual3,
SRR8040109,AMPLICON,593,47278688,PRJNA495906,SAMN10233994,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",28178523,MATIS OHF,2016-03,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",sea water,sea coast,sea water,SRX4870763,Iceland,Europe,Iceland:Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Eyr19,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Eyr19,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual1,
SRR8040115,AMPLICON,590,38379821,PRJNA495906,SAMN10233989,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",23060666,MATIS OHF,2016-01,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",sea water,sea coast,sea water,SRX4870757,Iceland,Europe,Iceland:Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Eyr14,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Eyr14,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual2,
SRR8040118,AMPLICON,588,48876513,PRJNA495906,SAMN10233990,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",29071536,MATIS OHF,2016-01,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",sea water,sea coast,sea water,SRX4870754,Iceland,Europe,Iceland:Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Eyr15,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Eyr15,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual3,
SRR8040127,AMPLICON,598,28480284,PRJNA495906,SAMN10234011,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",15674939,MATIS OHF,2016-08,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",sea water,sea coast,sea water,SRX4870745,Iceland,Europe,Iceland:Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Eyr36,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Eyr36,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual3,
SRR8040131,AMPLICON,589,43864163,PRJNA495906,SAMN10234027,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",26393909,MATIS OHF,2016-03,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",sea water,sea coast,sea water,SRX4870741,Iceland,Europe,Iceland:Seltjarnarnes,Illumina MiSeq,64.15 N 22.00 W,Gr13,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Gr13,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual1,
SRR8040132,AMPLICON,598,33489765,PRJNA495906,SAMN10234034,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",18123658,MATIS OHF,2016-09,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",sea water,sea coast,sea water,SRX4870740,Iceland,Europe,Iceland:Seltjarnarnes,Illumina MiSeq,64.15 N 22.00 W,Gr20,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Gr20,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual2,
SRR8040133,AMPLICON,598,206910236,PRJNA495906,SAMN10234047,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",147154606,MATIS OHF,2013-11,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",sea water,sea coast,sea water,SRX4870739,Iceland,Europe,Iceland:Eyarfjordur,Illumina MiSeq,65.73 N 18.10 W,Sku6,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Sku6,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual6,
SRR8040137,AMPLICON,590,31548515,PRJNA495906,SAMN10234032,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",19036169,MATIS OHF,2016-06,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",sea water,sea coast,sea water,SRX4870735,Iceland,Europe,Iceland:Seltjarnarnes,Illumina MiSeq,64.15 N 22.00 W,Gr18,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Gr18,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual3,
SRR8040139,AMPLICON,596,81918986,PRJNA495906,SAMN10233978,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",57663794,MATIS OHF,2015-09,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",sea water,sea coast,sea water,SRX4870733,Iceland,Europe,Iceland:Eyrarbakki,Illumina MiSeq,63.85 N 21.15 W,Eyr3,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-11-09T00:00:00Z,HP_Eyr3,SRP165270,2018-10-12T07:01:00Z,1,Halichondria panicea,individual3,
