Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,host_body_site,host_common_name,host_life_stage,HOST,host_subject_id,host_taxid,Instrument,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,perturbation,Platform,ReleaseDate,create_date,version,samp_salinity,Sample Name,Source_material_ID,SRA Study,Temp
SRR17186135,AMPLICON,602,11174926,PRJNA786895,SAMN23732456,Metagenome or environmental,6841475,GEOMAR KIEL,2020-06-11,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",1-3 m,SRX13369289,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,15,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInj_LS275_T0_15,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,18 PSU,"Halichondria panicea, Recolonization by injection Experiment: RecolInj_LS275_T0_15",RecolInj_LS275_T0_15,SRP350098,12 °C
SRR17186136,AMPLICON,602,10133466,PRJNA786895,SAMN23732455,Metagenome or environmental,6224723,GEOMAR KIEL,2020-06-11,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",1-3 m,SRX13369288,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,13,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInj_LS274_T0_13,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,18 PSU,"Halichondria panicea, Recolonization by injection Experiment: RecolInj_LS274_T0_13",RecolInj_LS274_T0_13,SRP350098,12 °C
SRR17186137,AMPLICON,602,20857494,PRJNA786895,SAMN23732454,Metagenome or environmental,12610929,GEOMAR KIEL,2020-06-11,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",1-3 m,SRX13369287,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,12,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInj_LS273_T0_12,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,18 PSU,"Halichondria panicea, Recolonization by injection Experiment: RecolInj_LS273_T0_12",RecolInj_LS273_T0_12,SRP350098,12 °C
SRR17186138,AMPLICON,602,18233376,PRJNA786895,SAMN23732453,Metagenome or environmental,11115413,GEOMAR KIEL,2020-06-11,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",1-3 m,SRX13369286,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,9,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInj_LS272_T0_9,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,18 PSU,"Halichondria panicea, Recolonization by injection Experiment: RecolInj_LS272_T0_9",RecolInj_LS272_T0_9,SRP350098,12 °C
SRR17186140,AMPLICON,602,14292684,PRJNA786895,SAMN23732335,Metagenome or environmental,7932282,GEOMAR KIEL,2019-11-14,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",1-3 m,SRX13369284,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,2,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInc_LS154_T0_2,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,15 PSU,"Halichondria panicea, Recolonization by incubation Experiment: RecolInc_LS154_T0_2",RecolInc_LS154_T0_2,SRP350098,14 °C
SRR17186210,AMPLICON,602,11432582,PRJNA786895,SAMN23732446,Metagenome or environmental,6903828,GEOMAR KIEL,2020-06-11,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",1-3 m,SRX13369214,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,8,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInj_LS265_T0_8,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,18 PSU,"Halichondria panicea, Recolonization by injection Experiment: RecolInj_LS265_T0_8",RecolInj_LS265_T0_8,SRP350098,12 °C
SRR17186211,AMPLICON,602,13373430,PRJNA786895,SAMN23732445,Metagenome or environmental,8184220,GEOMAR KIEL,2020-06-11,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",1-3 m,SRX13369213,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,6,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInj_LS264_T0_6,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,18 PSU,"Halichondria panicea, Recolonization by injection Experiment: RecolInj_LS264_T0_6",RecolInj_LS264_T0_6,SRP350098,12 °C
SRR17186212,AMPLICON,602,12275984,PRJNA786895,SAMN23732444,Metagenome or environmental,7429284,GEOMAR KIEL,2020-06-11,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",1-3 m,SRX13369212,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,5,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInj_LS263_T0_5,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,18 PSU,"Halichondria panicea, Recolonization by injection Experiment: RecolInj_LS263_T0_5",RecolInj_LS263_T0_5,SRP350098,12 °C
SRR17186213,AMPLICON,602,17616326,PRJNA786895,SAMN23732443,Metagenome or environmental,10576080,GEOMAR KIEL,2020-06-11,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",1-3 m,SRX13369211,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,4,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInj_LS262_T0_4,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,18 PSU,"Halichondria panicea, Recolonization by injection Experiment: RecolInj_LS262_T0_4",RecolInj_LS262_T0_4,SRP350098,12 °C
SRR17186214,AMPLICON,602,13635902,PRJNA786895,SAMN23732442,Metagenome or environmental,8383247,GEOMAR KIEL,2020-06-11,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",1-3 m,SRX13369210,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,3,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInj_LS261_T0_3,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,18 PSU,"Halichondria panicea, Recolonization by injection Experiment: RecolInj_LS261_T0_3",RecolInj_LS261_T0_3,SRP350098,12 °C
SRR17186215,AMPLICON,602,18374846,PRJNA786895,SAMN23732334,Metagenome or environmental,10143566,GEOMAR KIEL,2019-11-14,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",1-3 m,SRX13369209,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,1,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInc_LS153_T0_1,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,15 PSU,"Halichondria panicea, Recolonization by incubation Experiment: RecolInc_LS153_T0_1",RecolInc_LS153_T0_1,SRP350098,14 °C
SRR17186216,AMPLICON,602,11927426,PRJNA786895,SAMN23732441,Metagenome or environmental,7217828,GEOMAR KIEL,2020-06-11,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",1-3 m,SRX13369208,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,1,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInj_LS260_T0_1,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,18 PSU,"Halichondria panicea, Recolonization by injection Experiment: RecolInj_LS260_T0_1",RecolInj_LS260_T0_1,SRP350098,12 °C
SRR17186272,AMPLICON,602,13435436,PRJNA786895,SAMN23732339,Metagenome or environmental,7428160,GEOMAR KIEL,2019-11-14,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",1-3 m,SRX13369152,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,6,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInc_LS158_T0_6,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,15 PSU,"Halichondria panicea, Recolonization by incubation Experiment: RecolInc_LS158_T0_6",RecolInc_LS158_T0_6,SRP350098,14 °C
SRR17186283,AMPLICON,602,14857360,PRJNA786895,SAMN23732338,Metagenome or environmental,8192249,GEOMAR KIEL,2019-11-14,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",1-3 m,SRX13369141,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,5,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInc_LS157_T0_5,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,15 PSU,"Halichondria panicea, Recolonization by incubation Experiment: RecolInc_LS157_T0_5",RecolInc_LS157_T0_5,SRP350098,14 °C
SRR17186287,AMPLICON,602,23894584,PRJNA786895,SAMN23732434,Metagenome or environmental,14605592,GEOMAR KIEL,2020-06-11,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",1-3 m,SRX13369137,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,16,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInj_LS253_T0_16,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,18 PSU,"Halichondria panicea, Recolonization by injection Experiment: RecolInj_LS253_T0_16",RecolInj_LS253_T0_16,SRP350098,12 °C
SRR17186288,AMPLICON,602,21962164,PRJNA786895,SAMN23732433,Metagenome or environmental,13175353,GEOMAR KIEL,2020-06-11,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",1-3 m,SRX13369136,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,14,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInj_LS252_T0_14,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,18 PSU,"Halichondria panicea, Recolonization by injection Experiment: RecolInj_LS252_T0_14",RecolInj_LS252_T0_14,SRP350098,12 °C
SRR17186289,AMPLICON,602,21383040,PRJNA786895,SAMN23732432,Metagenome or environmental,12837300,GEOMAR KIEL,2020-06-11,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",1-3 m,SRX13369135,Germany,Europe,"Germany:Kiel\,Schilksee","crosssection, mesohyl and pinacoderm","Breadcrumb sponge\, Halichondria panicea",adult,Halichondria panicea,11,6063,Illumina MiSeq,sponge-associated bacteria,54.424705 N 10.175133 E,RecolInj_LS251_T0_11,PAIRED,PCR,GENOMIC,sponge metagenome,"T0, start of experiment",ILLUMINA,2022-06-01T00:00:00Z,2021-12-09T17:31:00Z,1,18 PSU,"Halichondria panicea, Recolonization by injection Experiment: RecolInj_LS251_T0_11",RecolInj_LS251_T0_11,SRP350098,12 °C
